,user,enrolled
20057,220962,1
30147,276227,1
17399,281010,1
48629,313476,0
25554,38850,0
27717,138878,1
22212,256666,1
32344,249550,1
48063,319900,0
4332,620,1
27007,31937,1
35573,67374,1
35064,136363,0
39580,237755,1
26806,217908,1
47259,168291,1
26498,89021,1
6116,359712,1
8201,132963,1
22709,248522,1
25405,252335,1
48666,103062,0
49432,161920,0
15737,187271,1
26391,7313,1
26338,357324,0
15414,76528,1
6844,186387,0
27330,32678,1
32376,238744,0
29138,123583,1
41298,246450,1
19901,62536,1
23300,198517,0
32916,189680,1
38509,252592,0
30419,38743,1
47566,310327,1
11706,79884,0
29359,25215,1
2596,339973,1
11789,184910,0
9376,191397,0
7666,365297,0
47578,255622,0
8497,361111,0
15082,353645,1
13932,298259,0
24978,259023,1
14170,340013,1
32345,5680,1
26346,170780,0
41482,147719,1
12158,189816,1
40039,372786,1
15075,210026,0
32302,208691,1
18204,274692,1
38429,122538,0
4271,61902,1
44725,233199,1
36102,105062,1
21276,108475,1
43918,250238,1
13671,356988,1
49858,168496,0
43614,95939,0
7524,353835,0
44344,168200,1
1070,322418,0
5772,371481,1
35792,248028,0
4541,53819,1
32581,22913,0
18300,278353,1
6176,186132,1
44548,209653,0
48399,324034,0
20354,201182,1
7704,51920,1
41644,19779,1
30689,45288,0
9195,79551,1
48400,57923,0
14009,35986,1
6330,128062,0
48264,218543,0
46939,151933,1
1122,349254,0
21518,372019,1
1052,131056,1
30893,48680,1
14082,90062,0
37341,75660,1
5809,236539,0
32763,125034,1
38121,204724,0
38101,107808,1
34200,351238,0
43712,281389,0
43486,242557,0
41561,117893,1
9324,122661,0
48590,96057,1
41209,22162,0
32180,104371,0
44206,339164,1
27595,173010,0
22310,336287,1
2066,267517,1
34599,344451,1
31090,240901,1
42320,25246,0
11201,30731,0
48616,256586,1
35658,49283,1
45794,215797,0
23573,259711,0
15744,122525,0
48955,132496,0
43314,254350,1
41328,287874,1
13400,132126,1
17013,44381,1
6613,35311,1
29257,297495,0
17681,311577,1
3513,17697,1
36489,319881,1
8535,49637,1
41464,174731,1
27016,225995,1
5304,363817,0
32112,168167,0
37606,134449,0
12015,61271,0
20610,128961,1
20709,318654,1
9129,224663,1
30571,59702,1
4804,108765,1
4647,99889,0
85,329480,1
42385,49291,1
1225,333736,0
3582,70663,1
27208,171664,0
46847,153502,0
22533,43359,1
43808,773,1
13982,347806,0
17424,133230,0
17269,62319,0
6306,165639,0
6302,104419,1
41608,73434,1
17417,366492,1
35699,210699,0
44410,23241,1
13579,370812,0
43483,201835,1
13110,134368,1
6132,276380,0
32352,130047,1
5828,338950,0
34284,152067,1
21187,259281,0
37244,290116,1
35891,325088,1
13178,201016,0
12333,202537,1
35624,333006,1
29078,235326,0
22611,285813,1
43493,172827,0
23330,214432,0
11180,62324,1
26257,34204,1
7410,16334,1
40441,264390,0
36376,203597,1
11821,203074,1
41887,11307,1
3416,103951,1
5782,39661,1
10295,175762,1
49966,67617,0
23178,327708,1
7155,59350,0
30651,296140,1
16228,90814,1
49556,340242,1
30503,244263,0
33922,44882,0
28537,165451,1
21625,255972,1
15683,292850,0
16430,326981,1
15273,276849,0
26042,322169,0
1825,79527,0
46066,190878,1
44588,228888,1
42200,216889,0
13458,109663,1
34081,134392,0
34056,105570,1
12883,282341,0
45404,239949,1
10908,139547,0
38252,297438,1
46766,233468,1
15495,307515,0
22198,171298,1
21407,138468,1
1648,237674,1
48522,66338,0
37140,345943,1
43287,250723,1
12670,35229,0
3805,152523,1
12411,333472,0
1591,83344,0
33815,205205,1
45489,216642,0
36868,163843,1
21290,343217,0
22274,176694,1
2366,25322,1
43667,344838,0
10739,345809,0
1262,277584,1
13557,227214,1
159,348712,1
16981,94655,1
46642,218814,1
45520,187921,1
39886,64646,0
1558,243567,1
24763,81392,1
7327,145512,1
14195,55741,0
32818,298317,1
36733,87871,0
15284,345140,1
41152,219345,1
22186,334501,1
35060,7720,1
21734,356721,1
6784,147707,1
47519,327595,0
40026,310933,0
34676,77047,0
41984,105201,1
32415,220039,0
39797,210650,1
25631,279372,1
7826,195468,1
26688,273912,1
165,217161,0
48910,57001,0
33278,351009,0
16431,12374,0
28077,306714,1
12764,46946,1
14158,10318,1
16476,176705,0
24067,360533,0
36425,97299,1
15990,268063,1
44726,157533,1
2414,248671,1
11578,272938,1
7616,368654,1
18947,269670,1
13460,357368,0
34034,164430,1
1532,259017,1
34724,253855,0
28501,156654,1
19677,129128,1
27117,317265,0
34144,185905,1
819,194956,1
29598,313995,1
15460,328302,0
9852,175513,0
28395,53750,1
8196,251684,1
45738,345928,0
23086,313696,1
29120,295258,1
14215,231578,1
298,25387,1
3954,197402,0
35316,121993,1
36643,287951,1
48034,367760,0
29253,348788,1
23605,303170,0
13064,259006,0
45438,264451,0
4140,151847,1
11170,268817,0
24567,26173,1
22695,207581,1
23667,157988,1
33190,272490,0
34726,340775,0
22634,225368,0
970,107881,1
33091,56343,0
9558,255777,1
12568,357527,1
19480,244785,1
17870,193970,0
21228,18219,1
12636,167154,0
13774,343075,1
37490,163942,1
26665,147097,0
8276,73455,1
26508,182590,0
42408,65667,0
13245,107894,1
14866,95373,1
39134,143318,0
19443,280559,0
3996,15690,1
4530,359870,0
25203,45311,0
42142,8234,1
34743,373544,1
46009,187453,1
40264,175003,1
8892,292284,1
46542,57795,0
8715,298550,1
20396,86292,1
21486,278199,0
48129,111201,1
9587,336722,0
17968,47208,0
1230,184532,1
12523,67456,0
8808,31319,1
22593,11381,1
25428,144915,1
27624,312003,1
28798,255893,0
29191,246034,1
47323,250345,1
49221,128109,0
8420,249880,1
26448,183387,1
15856,332599,1
23508,99693,0
12497,268134,1
29502,105643,1
17798,64515,1
46013,258551,0
5135,307497,1
32127,259660,1
32492,33116,1
30132,264462,1
9880,156487,1
18088,157109,1
11070,121641,1
24624,210671,0
27914,318488,0
19549,224935,0
1313,156791,1
27625,81609,0
34796,287598,1
5682,167371,1
3096,108197,1
19147,340478,0
24258,50114,1
4045,291990,1
32751,204269,0
1023,355917,1
17429,282998,0
46617,357875,1
782,181690,1
6510,20922,1
10927,256116,1
32923,216706,0
26944,349731,0
37455,357922,1
36793,287466,1
41987,164873,1
31287,196967,0
41454,124721,1
26225,357895,1
42410,7739,0
10407,78479,1
47852,334456,1
3453,188898,0
909,285332,1
31046,239219,1
41446,175893,1
17092,37753,1
4948,291761,0
13667,190583,1
34444,276775,1
29413,288987,1
28811,343598,1
18645,220576,1
36818,64531,0
17141,77992,1
32430,120084,0
39560,367958,0
2966,82919,0
6505,342891,0
36128,263501,0
23571,203220,1
48872,184180,0
45577,351239,1
48372,362726,1
18950,131953,0
47536,346864,0
40507,365255,1
11842,122062,0
37084,93247,1
11947,343171,1
17290,312133,1
10734,335049,1
23021,239639,1
31651,21301,0
25856,30302,1
13487,313580,1
24904,145898,1
34706,306322,0
5865,253569,0
47688,38029,1
2263,156122,1
32104,216038,0
10570,23115,1
30882,147941,1
46012,360778,0
4151,172997,1
13615,25451,0
32828,27419,0
12358,58411,0
33601,96496,0
24832,261095,0
19641,82931,0
26714,170930,1
21020,147770,1
49685,319412,1
13917,166861,0
18638,72783,0
44337,40581,1
38557,352690,0
13629,45064,1
9977,246897,1
8592,1900,0
42881,276773,0
12246,324191,1
10657,49001,1
22551,149697,1
38876,46292,1
23502,130095,0
10894,30476,0
6600,53281,0
13646,80854,1
10352,159216,1
29587,106677,1
48088,53,1
17248,159199,1
5799,347011,1
473,193315,1
35921,23148,0
29879,168434,1
44111,15497,1
6121,96347,0
17751,316395,1
40513,156007,0
32348,342876,0
41287,63842,0
47380,108249,0
27497,182862,1
31945,177769,0
15219,214191,0
23348,181488,0
20832,252642,0
21367,46520,1
6919,214906,1
3491,104535,0
42166,40356,1
14709,30822,0
3618,129682,1
25205,148996,1
5201,223500,1
21381,143518,1
6135,151452,0
40764,345595,1
19433,339467,0
49212,176834,0
22309,206934,1
35777,21070,1
49576,66689,1
15305,67493,0
6437,193877,1
14307,195279,1
3218,46034,1
11934,69937,0
43156,145111,1
21880,371894,0
12513,100889,0
19558,301271,0
26548,50469,1
44838,259824,1
7588,220137,0
23847,263260,1
49928,240885,0
13608,304329,1
20984,289474,1
22529,262951,1
5029,12882,1
4506,292899,1
27773,208142,1
1983,352785,0
33082,294913,0
9754,3729,0
18398,308794,1
16888,333781,0
24075,79285,1
48383,247912,1
11881,241924,1
49371,292547,1
47748,203304,0
40709,219350,1
42174,261006,1
10143,10381,1
18624,85667,1
48009,251404,0
3070,119343,0
1669,183296,1
48963,364741,1
24893,138363,1
7471,151229,0
27000,351234,0
16982,52737,0
11593,175701,1
44735,211581,1
28374,163279,0
30042,302258,0
40578,308142,1
12632,222843,1
28646,142965,1
3135,50381,1
2294,260475,0
15824,191689,1
29157,237152,1
4210,191907,1
3725,17613,0
6145,342520,0
20185,91657,1
8305,196999,1
28085,280078,1
7249,210702,0
41061,93541,0
48486,306239,1
33729,122402,1
22623,10864,0
2799,225067,1
5245,267042,1
48408,51316,0
7407,203965,1
27290,153967,0
35582,62764,1
48309,139248,1
17397,327915,1
24909,257834,1
14782,325475,1
47415,262289,1
32810,347243,1
35744,135288,0
688,86519,1
23210,366731,1
38051,284834,0
8996,274780,0
42504,132318,1
35287,244700,0
14801,351255,1
21565,327806,0
22963,34615,0
46607,176439,1
24941,303987,1
12100,22860,0
44562,48751,1
14482,35772,1
20536,261101,1
2908,73512,0
29780,283377,0
49662,78340,1
7999,163562,1
20018,101002,0
44534,181261,1
44801,264607,0
24502,107303,1
22781,171323,0
6842,100223,1
49570,175847,1
33756,241076,1
3088,196029,1
48796,292542,1
7260,130361,1
21281,317347,1
35676,351784,0
29283,140764,0
31196,267209,0
3172,278178,1
19171,212954,1
34402,214001,1
11288,26368,1
10022,124099,1
6704,173330,0
40453,359300,1
10762,153374,1
23164,362528,1
9020,73041,1
20651,240307,1
38880,38410,1
18991,200372,0
33317,238384,0
35989,176245,0
49615,29168,1
16131,195867,0
36046,13214,1
21072,368013,1
